ITEM_DESCRIPTION,count
Glazed Vitrified Tiles - 600X1200 Mm (Rest As Per Inv),14
(Ceramic Tiles) Other Details As Per Inv& Pl,14
Glazed Vitrified Tiles(Other Det.As Perinv),14
Unglazed Porcelain Tiles(Other Details Are As Per Invoice),14
Porcelain Glazed Slabs ( Water Absorption Percentage = Not Exceeding 0.5%)(Palletised),13
Polished Glazed Vitrified Tiles Size (Cm) 60 X 60,13
Glazed Porcelian Floor Tiles Design Code Glossy (600X1200 Mm) Other Details Asper Invoice & Packing List,13
Glazed Porcelain Tile(Other Details Areas Per Invoice),13
Glazed Vitrified Tiles (Polished) (Size:600X600 Mm) (Palletised),13
Ceramic Glazed Vitrified Tiles Size: 600X1200 Mm,13
Ceramic Glazed Vitrified Tiles (Water Absorption Less Than 0.5%) Size: 600X1200Mm Other Details As Per Inv & Pl,13
Digital Glazed Vitrified Tiles(All Otherdetails As Per Invoice And Pl),13
Glazed Vitrified Tiles (Polished) (Size:600X1200 Mm) (Palletised),13
Sample Other Details As Per Inv & Pl,13
Polished Glazed Vitrified Tiles - (Size:800 X 800 Mm) - Other Details As Per Inv/Pkg List,12
"Ceramic Glazed Vitrified Tiles (Water Absorption Less Than 0.5%) Size: 800X800 Mm (3 Pcs/Box), O/D As Per Inv & Pl",12
Digital Glazed Printed Porcelain Tiles,12
Glazed Vitrified Tiles - 1200X1200 Mm,12
Glazed Vitrified Tiles (Polished)Vitrified Tiles 600X600 Mm(Othr Dtls As Per Invoice),12
Digital Glazed Porcelain Floor Tiles Coloured (Size:1620X3240X12 Mm) And Other Details As Per Inv And Pl,12
Glazed Vitrified Tiles - 300X600 Mm,12
Polished Glazed Vitrified Tiles Other Details As Per Inv & Pl.,12
Ceramic Glazed Vitrified Tiles (Porcelain Tiles)(Rest As Per Inv),12
Glazed Vitrified Floor Tiles (Size: 600X1200 Mm),12
Digital Glazed Vitrified Tiles ( Size :600X1200 Mm) Other Details As Per Invoice And Packing List,12
Ceramic Tiles Size : 600 X 1200 Mm,12
Digital Glaze Porcelain Tiles (2880 Box),12
Digital Glazed Vitrified Tiles (Size: 60X120 Cm),12
Ceramic Glazed Wall Tiles Coloured Size:200Mm X200Mm(1Box=1.00Sqm)Water Absorption Coefficient By Weight Exceeding10%,12
"Digital Glazed Porcelain (Vitrified) Tile Size; 300X600Mm Mfg-Neelson Ceramic Llp Inv:Mexp/7, Dt:05/04/2024 Gst No-24Aal",12
Ceramic Glazed Wall Tiles,12
Ceramic Glazed Vitrified Tiles (Other Dtls As Per Inv & Pl),12
